data_captura,programa,categoria,valor_milhar,moeda_origem,descricao,data_referencia
2026-06-07,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-07
2026-06-08,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-08
2026-06-09,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-09
2026-06-10,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-10
2026-06-11,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-11
2026-06-12,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-12
2026-06-15,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-15
2026-06-16,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-16
2026-06-17,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-17
2026-06-18,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-18
2026-06-19,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-19
2026-06-22,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-22
2026-06-23,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-23
2026-06-24,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-24
2026-06-25,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-25
2026-06-26,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-26
2026-06-29,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-29
2026-06-30,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-06-30
2026-07-01,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-07-01
2026-07-02,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-07-02
2026-07-03,Bradesco Estrelas,banco,25.0,BRL,Valor da estrela: R$ 0.025,2026-07-03
