data_captura,programa,categoria,valor_milhar,moeda_origem,descricao,data_referencia
2026-06-07,Latam Pass,marketplace,26.75,BRL,"Latam Pass — R$ 26,75/milheiro",2026-06-07
2026-06-07,Smiles,marketplace,18.77,BRL,"Smiles — R$ 18,77/milheiro",2026-06-07
2026-06-07,TudoAzul,marketplace,17.6,BRL,"TudoAzul — R$ 17,60/milheiro",2026-06-07
2026-06-08,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-08
2026-06-08,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-08
2026-06-08,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-08
2026-06-09,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-09
2026-06-09,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-09
2026-06-09,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-09
2026-06-10,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-10
2026-06-10,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-10
2026-06-10,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-10
2026-06-11,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-11
2026-06-11,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-11
2026-06-11,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-11
2026-06-12,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-12
2026-06-12,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-12
2026-06-12,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-12
2026-06-15,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-15
2026-06-15,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-15
2026-06-15,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-15
2026-06-16,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-16
2026-06-16,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-16
2026-06-16,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-16
2026-06-17,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-17
2026-06-17,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-17
2026-06-17,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-17
2026-06-18,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-18
2026-06-18,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-18
2026-06-18,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-18
2026-06-19,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-19
2026-06-19,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-19
2026-06-19,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-19
2026-06-22,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-22
2026-06-22,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-22
2026-06-22,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-22
2026-06-23,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-23
2026-06-23,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-23
2026-06-23,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-23
2026-06-24,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-24
2026-06-24,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-24
2026-06-24,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-24
2026-06-25,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-25
2026-06-25,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-25
2026-06-25,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-25
2026-06-26,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-26
2026-06-26,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-26
2026-06-26,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-26
2026-06-29,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-29
2026-06-29,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-29
2026-06-29,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-29
2026-06-30,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-06-30
2026-06-30,Smiles,marketplace,0.0,BRL,Indisponível,2026-06-30
2026-06-30,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-06-30
2026-07-01,Latam Pass,marketplace,0.0,BRL,Indisponível,2026-07-01
2026-07-01,Smiles,marketplace,0.0,BRL,Indisponível,2026-07-01
2026-07-01,TudoAzul,marketplace,0.0,BRL,Indisponível,2026-07-01
