data_captura,programa,categoria,valor_milhar,moeda_origem,descricao,data_referencia
2026-06-07,Hotmilhas,marketplace,0,BRL,Indisponível,2026-06-07
2026-06-08,Hotmilhas,marketplace,0,BRL,Indisponível,2026-06-08
2026-06-09,Hotmilhas,marketplace,0,BRL,Indisponível,2026-06-09
2026-06-10,Hotmilhas,marketplace,0,BRL,Indisponível,2026-06-10
2026-06-11,Hotmilhas,marketplace,0,BRL,Indisponível,2026-06-11
2026-06-12,Hotmilhas,marketplace,0,BRL,Indisponível,2026-06-12
2026-06-15,Hotmilhas,marketplace,0,BRL,Indisponível,2026-06-15
2026-06-16,Hotmilhas,marketplace,0,BRL,Indisponível,2026-06-16
2026-06-17,Hotmilhas,marketplace,0,BRL,Indisponível,2026-06-17
2026-06-18,Hotmilhas,marketplace,0,BRL,Indisponível,2026-06-18
