data_captura,programa,categoria,valor_milhar,moeda_origem,descricao,data_referencia
2026-06-08,Latam Pass,marketplace,29.0,BRL,Latam Pass — R$ 29.00/milheiro (recomendada: pagamento em 30 dias),2026-06-08
2026-06-08,Smiles,marketplace,17.3,BRL,Smiles — R$ 17.30/milheiro (recomendada: pagamento em 30 dias),2026-06-08
2026-06-08,TudoAzul,marketplace,14.0,BRL,TudoAzul — R$ 14.00/milheiro (recomendada: pagamento em 30 dias),2026-06-08
2026-06-09,Latam Pass,marketplace,29.0,BRL,Latam Pass — R$ 29.00/milheiro (recomendada: pagamento em 30 dias),2026-06-09
2026-06-09,Smiles,marketplace,17.3,BRL,Smiles — R$ 17.30/milheiro (recomendada: pagamento em 30 dias),2026-06-09
2026-06-09,TudoAzul,marketplace,14.0,BRL,TudoAzul — R$ 14.00/milheiro (recomendada: pagamento em 30 dias),2026-06-09
2026-06-10,Latam Pass,marketplace,29.3,BRL,Latam Pass — R$ 29.30/milheiro (recomendada: pagamento em 30 dias),2026-06-10
2026-06-10,Smiles,marketplace,17.3,BRL,Smiles — R$ 17.30/milheiro (recomendada: pagamento em 30 dias),2026-06-10
2026-06-10,TudoAzul,marketplace,14.0,BRL,TudoAzul — R$ 14.00/milheiro (recomendada: pagamento em 30 dias),2026-06-10
2026-06-11,Latam Pass,marketplace,29.3,BRL,Latam Pass — R$ 29.30/milheiro (recomendada: pagamento em 30 dias),2026-06-11
2026-06-11,Smiles,marketplace,17.3,BRL,Smiles — R$ 17.30/milheiro (recomendada: pagamento em 30 dias),2026-06-11
2026-06-11,TudoAzul,marketplace,14.0,BRL,TudoAzul — R$ 14.00/milheiro (recomendada: pagamento em 30 dias),2026-06-11
2026-06-12,Latam Pass,marketplace,29.3,BRL,Latam Pass — R$ 29.30/milheiro (recomendada: pagamento em 30 dias),2026-06-12
2026-06-12,Smiles,marketplace,17.3,BRL,Smiles — R$ 17.30/milheiro (recomendada: pagamento em 30 dias),2026-06-12
2026-06-12,TudoAzul,marketplace,14.0,BRL,TudoAzul — R$ 14.00/milheiro (recomendada: pagamento em 30 dias),2026-06-12
2026-06-15,Latam Pass,marketplace,29.3,BRL,Latam Pass — R$ 29.30/milheiro (recomendada: pagamento em 30 dias),2026-06-15
2026-06-15,Smiles,marketplace,17.3,BRL,Smiles — R$ 17.30/milheiro (recomendada: pagamento em 30 dias),2026-06-15
2026-06-15,TudoAzul,marketplace,14.0,BRL,TudoAzul — R$ 14.00/milheiro (recomendada: pagamento em 30 dias),2026-06-15
